Country,Continent,all renewables,excluding hydropower,all renewables 2015, difference,all electricity generation,all renewables G,non-hydro renewables
Togo,Africa,17.1,0.6,76.1,-59.04,0.5,0.1,0
Equatorial Guinea,Africa,10.6,0,45.9,-35.32,1.1,0.1,0
Congo Brazzaville,Africa,28.9,0,54.6,-25.73,3.7,1.1,0
Mali,Africa,31.5,2.9,54,-22.5,3.3,1,0.1
Burundi,Africa,65.5,3.9,87,-21.46,0.4,0.2,0.01
Madagascar,Africa,41.3,2.4,59.7,-18.4,1.9,0.8,0.04
Ghana,Africa,38.5,0.4,52.2,-13.67,18.9,7.3,0.07
Cameroon,Africa,64.3,0.7,77,-12.67,8.4,5.4,0.06
Cabo Verde,Africa,19,19,30.7,-11.72,0.5,0.1,0.09
Sudan,Africa,55.2,1,65.7,-10.45,14.3,7.9,0.14
Malawi,Africa,88.8,6.3,99.1,-10.35,1.6,1.4,0.1
Zambia,Africa,87,1.4,97.1,-10.14,16,13.9,0.23
Mozambique,Africa,79.5,0.8,87,-7.46,18,14.3,0.14
Comoros,Africa,0.4,0,3.7,-3.31,0.1,0,0
Rwanda,Africa,48,5.6,50,-1.97,1.1,0.5,0.06
Namibia,Africa,96,4.4,97.9,-1.89,1,1,0.05
Tanzania,Africa,33.5,2.2,35.3,-1.83,7.4,2.5,0.16
Seychelles,Africa,1,1,2,-0.99,0.5,0,0.01
Ethiopia,Africa,100,4.1,100,-0.04,14.2,14.1,0.59
Côte d’Ivoire,Africa,24.9,0.9,0,0,9.6,2.4,0.08
Libya,Africa,0,0,0,0,31.7,0,0.01
Saint Helena,Africa,0,0,0,0,0,0,0
Liberia,Africa,1.3,1.3,0,0,0.3,0,0
Lesotho,Africa,100,0.2,100,0,0.5,0.5,0
Guinea-Bissau,Africa,2.4,2.4,0,0,0.1,0,0
Gambia,Africa,1,1,0,0,0.3,0,0
Djibouti,Africa,1.7,1.7,0,0,0.1,0,0
South Sudan,Africa,0.7,0.7,0.6,0.12,0.6,0,0
Congo Kinshasa,Africa,99.9,0.6,99.8,0.15,9.2,9.2,0.06
Botswana,Africa,0.2,0.2,0,0.24,2.1,0,0.01
Kenya,Africa,88.5,58.8,88.2,0.27,10.7,9.5,6.3
Benin,Africa,3.2,3.1,2.6,0.57,0.2,0,0.01
Algeria,Africa,1.1,0.9,0.3,0.79,76.7,0.8,0.69
Mauritius,Africa,24.6,20.9,23.8,0.8,2.7,0.7,0.57
Egypt,Africa,9.6,3,8.7,0.89,183,17.6,5.46
Tunisia,Africa,3.9,3.6,3,0.95,20.5,0.8,0.75
Eswatini,Africa,54.6,30.4,53.6,1.01,0.7,0.4,0.2
Sao Tome & Principe,Africa,11.1,0,9.1,2.02,0.1,0,0
Nigeria,Africa,21,0.2,19,2.04,29.3,6.2,0.07
Morocco,Africa,18.2,13.8,15.7,2.49,37.1,6.7,5.11
Burkina Faso,Africa,12.5,6.1,9.9,2.55,1.7,0.2,0.11
Senegal,Africa,14.3,8.3,11.1,3.24,5.2,0.7,0.43
Niger,Africa,4.1,4.1,0.8,3.33,0.6,0,0.02
Somalia,Africa,5,5,1.4,3.57,0.3,0,0.02
Eritrea,Africa,5.3,5.3,1,4.27,0.5,0,0.02
South Africa,Africa,7,4.5,2.4,4.61,223.2,15.7,9.98
Zimbabwe,Africa,66,1.8,54,11.96,11.3,7.5,0.2
Gabon,Africa,58.2,0.4,45,13.18,3,1.8,0.01
Central African Republic,Africa,99.4,0,86.2,13.18,0.2,0.2,0
Guinea,Africa,63.6,1,50,13.61,2.1,1.3,0.02
Angola,Africa,68.2,1.6,54.5,13.72,13.6,9.2,0.22
Uganda,Africa,98.9,10.4,80.8,18.08,5.6,5.5,0.58
Sierra Leone,Africa,91.4,4.8,62.9,28.55,0.2,0.2,0.01
Laos,Asia,64.4,0.3,96.5,-32.11,30,19.3,0.1
Sri Lanka,Asia,33.2,3.7,49.8,-16.6,15.3,5.1,0.57
Myanmar,Asia,48.3,0.1,60.1,-11.83,24.9,12,0.02
Uzbekistan,Asia,10.8,0,21.5,-10.68,60.2,6.5,0.01
Vietnam,Asia,28.2,3.9,37.9,-9.7,214.1,60.4,8.38
Tajikistan,Asia,93.1,0,98.5,-5.45,20.4,19,0
Philippines,Asia,21.8,13.9,26.5,-4.74,100.9,22,14.02
Afghanistan,Asia,82.8,3.8,86.1,-3.29,1.1,0.9,0.04
Georgia,Asia,75.9,0.8,78.9,-3.02,11,8.3,0.09
Iraq,Asia,2.8,0.1,3.9,-1.14,90.8,2.5,0.06
Brunei,Asia,0,0,0.1,-0.06,4.6,0,0
Yemen,Asia,14.6,14.6,0,0,3.4,0.5,0.5
Macau,Asia,33.6,33.6,0,0,0.6,0.2,0.19
Nepal,Asia,100,2.1,100,0,4.2,4.2,0.09
Kuwait,Asia,0.1,0.1,0,0,70.5,0.1,0.06
Qatar,Asia,0,0,0,0,46.9,0,0.01
Turkmenistan,Asia,0,0,0,0,21.2,0,0
Timor-Leste,Asia,0,0,0,0,0,0,0
Palestinian Territories,Asia,0,0,0,0,0.6,0,0
Oman,Asia,0,0,0,0,36,0,0
Maldives,Asia,0.4,0.4,0,0,0.6,0,0
Bhutan,Asia,100,0,100,0,9,9,0
Bahrain,Asia,0,0,0,0.03,31.4,0,0.01
Hong Kong,Asia,0.4,0.4,0.3,0.08,33.1,0.1,0.13
Saudi Arabia,Asia,0.1,0.1,0,0.12,362.4,0.4,0.44
Singapore,Asia,3.5,3.5,3.3,0.21,50.3,1.8,1.77
Bangladesh,Asia,1.5,0.5,1.3,0.21,79.6,1.2,0.38
Pakistan,Asia,33.8,4.4,33,0.75,120.4,40.6,5.35
Lebanon,Asia,3.9,0.6,2.8,1.14,20,0.8,0.13
Kazakhstan,Asia,11.1,1.5,9.3,1.83,102.3,11.4,1.54
Taiwan,Asia,6.6,4.4,4.4,2.22,279.1,18.5,12.28
Cambodia,Asia,50.1,2.2,47.7,2.4,8.4,4.2,0.18
United Arab Emirates,Asia,2.7,2.7,0.2,2.55,129.4,3.6,3.56
Iran,Asia,9.4,0.3,5.4,4.03,304.3,28.7,1.01
China,Asia,29.2,11.4,25,4.21,7601.2,2220.5,865.29
Israel,Asia,6.3,6.3,2,4.3,68.5,4.3,4.29
Azerbaijan,Asia,12.3,8.2,7.8,4.47,26.2,3.2,2.14
Syria,Asia,7.5,0.2,2.4,5.1,17.1,1.3,0.03
South Korea,Asia,7.6,6.3,2.1,5.47,549.9,41.6,34.51
Indonesia,Asia,17.7,10.9,11.2,6.52,272.9,48.4,29.74
Kyrgyzstan,Asia,92.4,0,85.8,6.55,14.8,13.7,0
Mongolia,Asia,9.9,8.5,3.3,6.61,6.5,0.6,0.56
India,Asia,21.7,11,15.1,6.62,1452.2,315.4,160.4
Malaysia,Asia,17.9,1.4,10.4,7.46,162.8,29.1,2.35
Thailand,Asia,16.7,14.1,9,7.72,176.7,29.5,25
Japan,Asia,25.8,16.3,17.4,8.45,938,242.5,153.3
North Korea,Asia,85,0.1,73.8,11.21,16.1,13.7,0.02
Jordan,Asia,15.5,15.2,1,14.48,19.5,3,2.97
Faroe Islands,Europe,43.4,16.7,61.6,-18.17,0.4,0.2,0.06
Croatia,Europe,59.2,27.2,68.5,-9.32,10.6,6.3,2.9
Armenia,Europe,24.6,0.3,29.6,-5.03,7.3,1.8,0.02
North Macedonia,Europe,28.6,3.9,32.7,-4.09,5,1.4,0.2
Moldova,Europe,4.9,1.4,5.6,-0.68,5.8,0.3,0.08
Iceland,Europe,100,32.4,100,-0.02,18.4,18.4,5.97
Albania,Europe,100,0.4,100,0,5.2,5.2,0.02
Gibraltar,Europe,0,0,0,0,0.2,0,0
Norway,Europe,99,6.7,98.5,0.45,153.7,152.1,10.37
Bosnia & Herzegovina,Europe,37.3,1.8,36.7,0.59,17.2,6.4,0.32
Slovakia,Europe,25,8.2,23.7,1.28,27.8,6.9,2.27
Ukraine,Europe,6.5,2.9,4.6,1.86,136.3,8.8,3.95
Switzerland,Europe,67.4,8.5,65.4,2.04,68.9,46.5,5.85
Bulgaria,Europe,21.1,12.2,18.8,2.28,38,8,4.65
Belarus,Europe,3.3,2.2,1,2.31,36.1,1.2,0.8
Serbia,Europe,31.1,3.5,28.3,2.78,35,10.9,1.23
Russia,Europe,19.7,0.6,16.9,2.8,1027.5,202.4,6.37
Italy,Europe,44.2,26.6,40.9,3.3,271.9,120.2,72.45
Czech Republic,Europe,15.6,11.1,12.1,3.49,75.2,11.7,8.32
Malta,Europe,11.5,11.5,7.9,3.59,2.1,0.2,0.24
Austria,Europe,83.9,20,80,3.93,70.9,59.5,14.17
Cyprus,Europe,13.3,13.3,9.2,4.05,4.7,0.6,0.63
Sweden,Europe,70.1,25,64.7,5.42,158.7,111.3,39.67
Slovenia,Europe,36.2,4,30.5,5.67,16.3,5.9,0.66
Poland,Europe,20.4,18.4,14.6,5.76,146.2,29.8,26.85
Belgium,Europe,29.8,28.3,23.8,5.98,86.3,25.7,24.41
Hungary,Europe,17.9,17.2,11.6,6.3,33,5.9,5.67
Romania,Europe,47.7,17.7,41.3,6.38,51.8,24.7,9.16
France,Europe,23.7,12,16.8,6.89,553.7,131.2,66.36
Finland,Europe,53.2,30,46.3,6.92,67,35.7,20.1
Montenegro,Europe,59.5,8.4,50.9,8.55,3.5,2.1,0.29
Spain,Europe,46,32.9,36.2,9.83,254.1,117,83.63
Turkey,Europe,43.8,17.5,32.9,10.93,293.8,128.8,51.39
Portugal,Europe,61.6,34.9,49.8,11.78,52.2,32.2,18.2
Ireland,Europe,42.4,38.7,29.7,12.66,33.1,14,12.81
Greece,Europe,43.6,35.1,29.7,13.85,40.6,17.7,14.24
Netherlands,Europe,29.1,29.1,14.7,14.43,118.7,34.6,34.53
Latvia,Europe,66.6,19.2,51.5,15.14,5.5,3.6,1.05
Denmark,Europe,85.2,85.1,69.4,15.8,28.5,24.2,24.23
Germany,Europe,48.6,44,31.8,16.78,545.2,264.9,240.1
United Kingdom,Europe,47.1,44.5,27.4,19.68,299.5,141,133.37
Lithuania,Europe,71.3,49.5,48.1,23.23,4.9,3.5,2.41
Estonia,Europe,44.2,43.5,16.5,27.69,5.9,2.6,2.57
Saint Pierre and Miquelon,N. America,0,0,4.3,-4.3,0,0,0
Dominica,N. America,23.5,1.3,25.5,-2.02,0.1,0,0
Dominican Republic,N. America,10.9,5.4,12.2,-1.28,18.9,2.1,1.01
Saint Kitts and Nevis,N. America,3.5,3.5,3.8,-0.27,0.2,0,0.01
Barbados,N. America,3.9,3.9,0,0,1,0,0.04
Antigua & Barbuda,N. America,4.4,4.4,0,0,0.3,0,0.02
U.S. Virgin Islands,N. America,1.2,1.2,0,0,0.6,0,0.01
Trinidad and Tobago,N. America,0.1,0.1,0,0,8.6,0,0.01
Turks and Caicos Islands,N. America,0,0,0,0,0.2,0,0
The Bahamas,N. America,0.2,0.2,0,0,2.1,0,0
Saint Lucia,N. America,0.9,0.9,0,0,0.4,0,0
Montserrat,N. America,0,0,0,0,0,0,0
Grenada,N. America,1.6,1.6,0,0,0.2,0,0
British Virgin Islands,N. America,1.1,1.1,0,0,0.1,0,0
Bermuda,N. America,0,0,0,0,0.6,0,0
Panama,N. America,66.5,8.4,66.5,0.05,12.5,8.3,1.04
Cuba,N. America,4.6,3.9,4.2,0.44,19.5,0.9,0.77
Costa Rica,N. America,99.8,28.7,99.1,0.71,11.7,11.6,3.35
Jamaica,N. America,11.9,8.1,10.8,1.08,4.2,0.5,0.34
Saint Vincent/Grenadines,N. America,17.2,0.7,16.1,1.14,0.1,0,0
Canada,N. America,68.8,8,64.7,4.12,630.2,433.7,50.69
Haiti,N. America,13.6,0.3,8.4,5.25,1,0.1,0
Mexico,N. America,21.9,14.5,16,5.91,310.1,67.9,44.81
Martinique,N. America,6,6,0.1,5.92,1.6,0.1,0.1
United States,N. America,20.9,13.7,14,6.91,4050.8,847,555.89
Nicaragua,N. America,60,51.2,51.6,8.42,4.6,2.8,2.37
Guadeloupe,N. America,13.7,13.7,3.4,10.31,1.6,0.2,0.22
Puerto Rico,N. America,13.9,13.7,2.2,11.75,19.5,2.7,2.67
Greenland,N. America,80.2,0,67.7,12.51,0.5,0.4,0
El Salvador,N. America,71.2,47,58.4,12.81,5.9,4.2,2.79
Netherlands Antilles,N. America,33.3,33.3,20,13.26,0.9,0.3,0.31
Guatemala,N. America,75.4,28.1,61.7,13.73,12.2,9.2,3.44
Honduras,N. America,57.5,28.2,43.6,13.95,11.1,6.4,3.11
French Polynesia,Oceania,32.3,5.9,36.1,-3.77,0.7,0.2,0.04
Samoa,Oceania,29.7,0.1,33.1,-3.4,0.1,0,0
Papua New Guinea,Oceania,20.8,1,23.8,-2.97,4,0.8,0.04
New Caledonia,Oceania,13.5,1.5,14.4,-0.92,3,0.4,0.05
Guam,Oceania,3.8,3.8,0,0,1.8,0.1,0.07
Solomon Islands,Oceania,5.3,5.3,0,0,0.1,0,0.01
Cook Islands,Oceania,25.7,25.7,0,0,0,0,0.01
U.S. Pacific Islands,Oceania,0,0,0,0,0.5,0,0
Tonga,Oceania,0,0,0,0,0.1,0,0
Niue,Oceania,0,0,0,0,0,0,0
Nauru,Oceania,0,0,0,0,0,0,0
Kiribati,Oceania,16.2,16.2,0,0,0,0,0
American Samoa,Oceania,0,0,0,0,0.2,0,0
New Zealand,Oceania,81,27.4,80.8,0.18,44.8,36.2,12.26
Vanuatu,Oceania,14.9,14.9,9.1,5.76,0.1,0,0.01
Australia,Oceania,24.6,18.4,14.4,10.23,243.3,59.9,44.78
Fiji,Oceania,57.9,7,46.2,11.7,1.1,0.6,0.08
Falkland Islands,S. America,33.3,33.3,47.4,-14.12,0,0,0.01
French Guiana,S. America,50,6,59,-8.98,1,0.5,0.06
Argentina,S. America,27.1,9.5,30.7,-3.64,137.8,37.3,13.02
Suriname,S. America,58.2,0.7,61.3,-3.08,2.4,1.4,0.02
Colombia,S. America,67.1,1.4,69.4,-2.3,69.7,46.8,0.98
Aruba,S. America,16,16,17.8,-1.85,0.9,0.1,0.15
Guyana,S. America,2.4,2.4,0,0,1.2,0,0.03
Paraguay,S. America,100,0,100,0,48.9,48.9,0
Bolivia,S. America,35.6,5.1,32.5,3.13,9.6,3.4,0.49
Venezuela,S. America,68.4,0.1,64.9,3.5,105.4,72.1,0.1
Chile,S. America,48.3,22.3,44.7,3.57,80.1,38.7,17.89
Peru,S. America,61.6,5.3,54,7.65,55.5,34.2,2.94
Uruguay,S. America,98.3,48.7,89.1,9.18,15.8,15.5,7.69
Brazil,S. America,86,20.1,75,10.96,622,534.7,125.15
Ecuador,S. America,81.2,1.9,54.1,27.07,31.3,25.4,0.59
